"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 03 16:09:58 UTC 2026","Sat Jan 03 16:10:00 UTC 2026","2033","tests","test_todo","","","","test_language[chromium-input_value3]",""
"passed","Sat Jan 03 16:09:41 UTC 2026","Sat Jan 03 16:09:45 UTC 2026","3866","tests","test_todo","","","","test_login[chromium-input_value0]",""
"passed","Sat Jan 03 16:09:52 UTC 2026","Sat Jan 03 16:09:55 UTC 2026","3879","tests","test_todo","","","","test_login[chromium-input_value1]",""
"passed","Sat Jan 03 16:09:37 UTC 2026","Sat Jan 03 16:09:41 UTC 2026","4004","tests","test_todo","","","","test_registration[chromium-input_value0]",""
"passed","Sat Jan 03 16:09:45 UTC 2026","Sat Jan 03 16:09:47 UTC 2026","2157","tests","test_todo","","","","test_language[chromium-input_value1]",""
"passed","Sat Jan 03 16:10:00 UTC 2026","Sat Jan 03 16:10:02 UTC 2026","2127","tests","test_todo","","","","test_language[chromium-input_value4]",""
"passed","Sat Jan 03 16:09:56 UTC 2026","Sat Jan 03 16:09:58 UTC 2026","2065","tests","test_todo","","","","test_language[chromium-input_value2]",""
"passed","Sat Jan 03 16:09:35 UTC 2026","Sat Jan 03 16:09:37 UTC 2026","2262","tests","test_todo","","","","test_language[chromium-input_value0]",""
"passed","Sat Jan 03 16:09:47 UTC 2026","Sat Jan 03 16:09:52 UTC 2026","4176","tests","test_todo","","","","test_registration[chromium-input_value1]",""
